date,BTCUSDT,ETHUSDT,YFIUSDT,BNBUSDT,YFIIUSDT,LTCUSDT,SOLUSDT,MKRUSDT,BCHUSDT
2023-01-23,22916.45,1626.29,7772.0,305.1,1314.8,89.9,24.33,705.0,133.2
2023-01-24,22632.89,1555.97,7362.0,300.3,1269.6,87.19,22.78,661.0,128.2
2023-01-25,23060.94,1611.94,7605.0,306.9,1284.0,89.38,24.52,667.0,131.8
2023-01-26,23009.65,1601.09,7541.0,304.7,1271.8,87.52,24.33,658.0,134.0
2023-01-27,23074.16,1597.62,7652.0,308.0,1275.9,88.89,24.43,672.0,135.2
2023-01-28,23022.6,1572.1,7431.0,306.1,1349.5,89.67,24.0,658.0,132.7
2023-01-29,23742.3,1644.72,7798.0,317.2,1349.2,94.84,26.07,675.0,136.6
2023-01-30,22826.15,1566.2,7191.0,307.2,1273.5,91.37,23.96,635.0,131.2
2023-01-31,23125.13,1585.33,7222.0,312.0,1294.2,94.09,23.92,656.0,133.3
2023-02-01,23732.66,1641.68,7474.0,317.0,1319.1,100.33,25.0,669.0,136.2
2023-02-02,23488.94,1643.12,7670.0,323.5,1299.1,98.64,24.32,670.0,136.7
2023-02-03,23431.9,1663.52,7885.0,332.2,1404.8,99.86,24.69,696.0,137.9
2023-02-04,23326.84,1666.38,7791.0,330.4,1354.3,98.51,24.34,699.0,138.0
2023-02-05,22932.91,1629.02,7615.0,327.8,1328.8,96.63,23.47,694.0,134.4
2023-02-06,22762.52,1614.29,7477.0,324.3,1315.3,95.93,22.66,693.0,131.5
2023-02-07,23240.46,1671.03,7860.0,333.0,1351.4,100.86,23.82,790.0,135.9
2023-02-08,22963.0,1650.43,7736.0,328.2,1328.9,99.22,23.22,782.0,131.6
2023-02-09,21796.35,1545.35,7022.0,306.2,1209.5,92.05,20.48,712.0,126.6
2023-02-10,21625.19,1513.06,7022.0,305.8,1227.8,93.34,20.11,712.0,124.3
2023-02-11,21862.55,1538.51,7194.0,310.4,1239.4,94.28,20.81,724.0,124.6
2023-02-12,21783.54,1514.83,6984.0,312.6,1221.4,92.51,21.49,685.0,122.9
2023-02-13,21773.97,1505.24,6788.0,294.3,1205.0,91.05,20.77,770.0,123.8
2023-02-14,22199.84,1555.71,7060.0,296.2,1241.7,95.82,21.84,739.0,126.7
2023-02-15,24324.05,1674.92,7424.0,317.4,1298.3,102.82,23.86,760.0,134.8
2023-02-16,23517.72,1637.84,7152.0,304.4,1243.9,98.55,22.24,706.0,128.0
2023-02-17,24569.97,1693.87,7414.0,313.0,1295.8,100.12,23.14,725.0,133.4
2023-02-18,24631.95,1691.62,7501.0,316.5,1300.3,99.71,23.45,729.0,136.2
2023-02-19,24271.76,1679.75,7414.0,311.5,1300.8,97.43,24.84,737.0,136.0
2023-02-20,24842.2,1703.27,7590.0,315.4,1355.0,95.9,26.26,771.0,145.1
2023-02-21,24452.16,1659.76,8384.0,311.5,1359.6,93.8,24.98,787.0,145.3
2023-02-22,24407.29,1660.42,8436.0,310.9,1358.9,94.53,25.11,786.0,144.6
